playerID,Full Name,Points per Game,O. Rebounds per Game,D. Rebounds per Game,Assists per Game,Steals per Game,Blocks per Game,PF per Game,Offensive Player
houbrbo01,Robert J. Houbregs,10.470588235294116,0.0,0.0,1.9235294117647062,0.0,0.0,2.094117647058824,0
howelba01,Bailey E. Howell,18.486981677917072,0.0,0.0,1.9122468659594984,0.0,0.0,3.735776277724205,0
isselda01,Daniel Paul Issel,22.513693560325684,3.0074019245003702,6.122131754256108,2.3597335307179867,0.7535159141376758,0.4307920059215396,2.937823834196891,1
jeannbu01,Harry Edward Jeannette,7.718475073313782,0.0,0.0,0.8914956011730205,0.0,0.0,2.357771260997068,0
johnsde01,Dennis Wayne Johnson,14.57109375,1.34453125,2.58515625,5.08203125,1.346875,0.615625,2.8609375,0
johnsgu01,Gus Johnson,15.720351390922401,0.1581259150805271,0.30161054172767204,2.480234260614934,0.0,0.0,3.348462664714495,0
johnsma02,Earvin Johnson,19.532846715328468,1.7791970802919708,5.541970802919709,11.393248175182483,1.8996350364963503,0.3996350364963504,2.3485401459854014,1
johnsne01,Donald Neil Johnston,19.147058823529417,0.0,0.0,2.488970588235294,0.0,0.0,3.2610294117647056,0
joneskc01,K.C. Jones,7.271446862996158,0.0,0.0,4.2304737516005115,0.0,0.0,2.75416133162612,0
jonessa01,Samuel Jones,17.87317073170732,0.0,0.0,2.504390243902439,0.0,0.0,2.078048780487805,0
jordami01,Michael Jeffrey Jordan,30.598721023181447,1.5771382893685049,4.677058353317347,5.319744204636291,2.3101518784972024,0.8401278976818545,2.657074340527578,1
laniebo01,Robert Jerry Lanier,19.976608187134506,1.9707602339181287,5.184210526315789,3.1598440545808972,0.817738791423002,1.168615984405458,3.1978557504873293,1
lovelcl01,Clyde Edward Lovellette,16.701164294954722,0.0,0.0,1.6222509702457957,0.0,0.0,3.261319534282018,0
lucasje01,Jerry Ray Lucas,16.591564927857934,0.07547169811320754,0.36403995560488345,3.2697003329633736,0.03551609322974473,0.026637069922308545,2.8679245283018866,0
macaued01,Charles Edward Macauley,17.2703488372093,0.0,0.0,3.2223837209302326,0.0,0.0,2.627906976744186,0
malonka01,Karl Anthony Malone,24.978430197723192,2.4349910125823846,7.768723786698621,3.5098861593768724,1.4038346315158778,0.7669263031755542,3.138406231276213,1
malonmo01,Moses Eugene Malone,20.445659163987134,5.105466237942122,7.263665594855305,1.3382636655948552,0.82508038585209,1.317684887459807,2.4064308681672024,1
